key,match_done,dist,match_that_should_be_done
resourceType,resourceType,0.8111047,[]
doc_id,doc_id,0.8063778,['doc_id']
status,status,0.8063778,[]
type,type,0.8043174,[]
identifier,deviceIdentifier,0.6164969,['identifier.value']
quicklooks.description,description,0.57526606,[]
publications.description,description,0.57526606,[]
spatialExtents.spatialRepresentation,representation,0.5670824,[]
instrumentSet.manufacturer,manufacturer,0.5579022,[]
instrumentSet.serialNumber,serialNumber,0.5579022,[]
documentRating,documentation,0.5565847,[]
formats.version,version,0.5493641,[]
formats.name,format,0.5444154,[]
contacts.address.country,country,0.5159821,[]
contacts.nameType,contentType,0.50677466,[]
contacts.address.postalCode,postalCode,0.50607836,[]
links.name,name,0.50366163,[]
dataLevel,data,0.5026682,[]
contacts.comment.en,comment,0.4929675,[]
contacts.comment.fr,comment,0.4929675,[]
links.url,linkId,0.4833519,[]
links.url.1,url,0.47959214,[]
projectSet.label,label,0.4761123,[]
spatialExtents.area.longitude,longitude,0.468181,['position.longitude']
spatialExtents.area.latitude,latitude,0.45917785,['position.latitude']
contacts.organisation,condition,0.4512081,[]
publications.title,title,0.44745326,[]
note,date,0.44213796,[]
instruments,requirements,0.43999058,[]
parameterSet.type,payloadMimeType,0.4355027,[]
publications.publicationYear,publisher,0.43263543,[]
visibility,city,0.43086475,[]
datasetSpecification.datasetCreationDate,expirationDate,0.42407268,[]
genealogy,generation,0.4237433,[]
sites,rules,0.4221949,[]
lastModification.value,value,0.41346794,[]
contacts.ror,comparator,0.39610064,[]
keywords.concept,key,0.37488866,['category.coding.code']
distributionInformation.licencePolicyUrl,referencePolicy,0.36143738,[]
plateforms,performedDateTime,0.36008316,[]
parameters,path,0.3580678,[]
parameterSet.uom,map,0.31297725,[]
