key,match_done,dist,match_that_should_be_done
spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeList,spatialExtents.spatialRepresentation,0.49477088,[]
MD_Format.version.nilReason,formats.version,0.49461022,[]
language.LanguageCode.codeList,language,0.46822727,[]
accessConstraints.MD_RestrictionCode.codeList,distributionInformation.accessConstraints,0.43998408,[]
metadataStandardName.CharacterString.@value,parameterSet.cfStandardName,0.42451784,[]
linkage.URL.@value,links.url,0.42129388,['links.url']
useConstraints.MD_RestrictionCode.codeList,distributionInformation.useConstraints,0.41402292,['distributionInformation.dataPolicyUrl']
eastBoundLongitude.Decimal.@value,area.eastLongitude,0.39713883,['spatialExtents.area.eastLongitude']
westBoundLongitude.Decimal.@value,area.westLongitude,0.39377183,[]
northBoundLatitude.Decimal.@value,area.northLatitude,0.39377183,['spatialExtents.area.northLatitude']
southBoundLatitude.Decimal.@value,area.southLatitude,0.39377183,[]
MD_Format.name.nilReason,formats.name,0.39057207,[]
fileIdentifier.CharacterString.@value,identifiers.code,0.37909055,['identifiers']
organisationName.CharacterString.@value,contacts.organisation,0.37542784,['contacts.organisation']
MD_Keywords.keyword.nilReason,keywords.concept,0.37503946,[]
date.Date.@value,histories.date,0.3454972,['datasetSpecificationdatasetSpecification.datasetPublicationDate']
TimePeriod.endPosition.@value,lastModification.value,0.3416187,[]
abstract.CharacterString.@value,resourceAbstract.fr,0.3366847,['resourceAbstract.en']
abstract.CharacterString.@value.1,resourceAbstract.en,0.3339396,['resourceAbstract.en']
characterSet.MD_CharacterSetCode.codeListValue,parameterSet.thesaurusCode,0.32975477,['formats.name']
distance.Distance.uom,parameterSet.uom,0.32765406,[]
characterSet.MD_CharacterSetCode.codeList,parameterSet.thesaurusCode,0.32756835,[]
pointOfContact.CI_ResponsibleParty.uuid,contacts.orcId,0.3123374,[]
name.CharacterString.@value,parameterSet.longName,0.30883723,['links.name']
extent.TimePeriod.id,spatialExtents.name,0.30813125,[]
electronicMailAddress.CharacterString.@value,address.city,0.30296612,['contacts.email']
country.CharacterString.@value,address.country,0.29619434,['contacts.address.country']
statement.CharacterString.@value,status,0.2849318,['instrumentSet.description']
dateType.CI_DateTypeCode.codeListValue,resourceType,0.2776227,[]
individualName.CharacterString.@value,instrumentSet.name,0.2771786,['contacts.name']
function.CI_OnLineFunctionCode.codeList,technicalInformation.catalogueMode,0.27188244,[]
code.Anchor.href,comment.en,0.261703,['instrumentSet.thesaurusCode:parameterSet.thesaurusCode']
code.Anchor.href.1,comment.fr,0.261703,['instrumentSet.thesaurusCode:parameterSet.thesaurusCode']
