key,match_done,dist,match_that_should_be_done
id,doc_id,0.41769144,[]
@value,lastModification.value,0.34135595,"['contacts.address.city', 'lastModification.value', 'links.name', 'contacts.email', 'spatialExtents.area.northLatitude', 'contacts.address.street:contacts.address.postalCode:contacts.address.city', 'datasetSpecificationdatasetSpecification.datasetPublicationDate', 'resourceAbstract.en', 'projectSet.label', 'contacts.address.country', 'links.url', 'instrumentSet.description:links.description:platformSet.description:resourceAbstract:spatialExtents.description', 'distributionInformation.description.fr', 'keywords.concept', 'identifiers', 'contacts.name', 'contacts.organisation', 'instrumentSet.description', 'links.type', 'spatialExtents.area.eastLongitude']"
uom,parameterSet.uom,0.33042172,[]
codeList,comment.en,0.27203053,['distributionInformation.dataPolicyUrl']
codeList.1,comment.fr,0.27203053,['distributionInformation.dataPolicyUrl']
nilReason,formats.version,0.24651664,[]
href,formats.name,0.22538376,['instrumentSet.thesaurusCode:parameterSet.thesaurusCode']
