key,match_done,dist,match_that_should_be_done
spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeList,spatialExtents.spatialRepresentation,0.49388263,[]
MD_Format.version.nilReason,formats.version,0.49372196,[]
language.LanguageCode.codeList,language,0.467339,[]
accessConstraints.MD_RestrictionCode.codeList,distributionInformation.accessConstraints,0.43909582,[]
metadataStandardName.CharacterString.@value,parameterSet.cfStandardName,0.42362958,[]
linkage.URL.@value,links.url,0.42040563,['links.url']
useConstraints.MD_RestrictionCode.codeList,distributionInformation.useConstraints,0.41313466,['distributionInformation.dataPolicyUrl']
MD_Format.name.nilReason,formats.name,0.3896838,[]
fileIdentifier.CharacterString.@value,identifiers.code,0.3782023,['identifiers']
organisationName.CharacterString.@value,contacts.organisation,0.37453958,['contacts.organisation']
MD_Keywords.keyword.nilReason,keywords.concept,0.3741512,[]
southBoundLatitude.Decimal.@value,spatialExtents.area.southLatitude,0.35088164,[]
TimePeriod.endPosition.@value,lastModification.value,0.34073043,[]
northBoundLatitude.Decimal.@value,spatialExtents.area.northLatitude,0.33638886,['spatialExtents.area.northLatitude']
abstract.CharacterString.@value,resourceAbstract.fr,0.33579645,['resourceAbstract.en']
eastBoundLongitude.Decimal.@value,spatialExtents.area.eastLongitude,0.3351795,['spatialExtents.area.eastLongitude']
westBoundLongitude.Decimal.@value,spatialExtents.area.westLongitude,0.3331091,[]
abstract.CharacterString.@value.1,resourceAbstract.en,0.33305135,['resourceAbstract.en']
characterSet.MD_CharacterSetCode.codeListValue,parameterSet.thesaurusCode,0.3288665,['formats.name']
distance.Distance.uom,parameterSet.uom,0.3267658,[]
characterSet.MD_CharacterSetCode.codeList,parameterSet.thesaurusCode,0.3266801,[]
country.CharacterString.@value,contacts.address.country,0.3252308,['contacts.address.country']
pointOfContact.CI_ResponsibleParty.uuid,contacts.orcId,0.31144914,[]
name.CharacterString.@value,parameterSet.longName,0.307949,['links.name']
extent.TimePeriod.id,spatialExtents.name,0.307243,[]
electronicMailAddress.CharacterString.@value,contacts.address.city,0.29534692,['contacts.email']
dateType.CI_DateTypeCode.codeListValue,resourceType,0.27673447,[]
individualName.CharacterString.@value,instrumentSet.name,0.27629033,['contacts.name']
function.CI_OnLineFunctionCode.codeList,technicalInformation.catalogueMode,0.2709942,[]
