,model_1_path_size,model_2_path_size,precision,recall,F1-score,total_matches_in_ground_truth,total_matches,good_match,good_match_without_ambi_on_key,good_match_without_ambi_on_match,good_match_without_ambi,precision_without_ambiguity_on_key,precision_without_ambiguity_on_match,precision_without_ambiguity,recall_without_ambiguity_on_key,recall_without_ambiguity_on_match,recall_without_ambiguity,F1-score_without_ambiguity_on_key,F1-score_without_ambiguity_on_match,F1-score_without_ambiguity
count,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
mean,5.5,1.5,0.08805891162390216,0.15357142857142858,0.11037343671817239,35.0,55.75,5.375,5.375,5.375,5.375,0.08805891162390216,0.08805891162390216,0.08805891162390216,0.15357142857142858,0.15357142857142858,0.15357142857142858,0.11037343671817239,0.11037343671817239,0.11037343671817239
std,3.488583203244183,1.129865365732064,0.04065683179450272,0.0811607069711527,0.05432626501895387,0.0,20.488190682605637,2.840624743990345,2.840624743990345,2.840624743990345,2.840624743990345,0.04065683179450272,0.04065683179450272,0.04065683179450272,0.0811607069711527,0.0811607069711527,0.0811607069711527,0.05432626501895387,0.05432626501895387,0.05432626501895387
min,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2.75,0.75,0.058823529411764705,0.10714285714285714,0.07579628683358883,35.0,58.0,3.75,3.75,3.75,3.75,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.07579628683358883,0.07579628683358883,0.07579628683358883
50%,5.5,1.5,0.09090909090909091,0.14285714285714285,0.11010284331518452,35.0,65.0,5.0,5.0,5.0,5.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11010284331518452,0.11010284331518452,0.11010284331518452
75%,8.25,2.25,0.11764705882352941,0.22857142857142856,0.1553398058252427,35.0,68.0,8.0,8.0,8.0,8.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.1553398058252427,0.1553398058252427,0.1553398058252427
max,11.0,3.0,0.14516129032258066,0.2571428571428571,0.18556701030927839,35.0,68.0,9.0,9.0,9.0,9.0,0.14516129032258066,0.14516129032258066,0.14516129032258066,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.18556701030927839,0.18556701030927839,0.18556701030927839
