,model_1_path_size,model_2_path_size,precision,recall,F1-score,total_matches_in_ground_truth,total_matches,good_match,good_match_without_ambi_on_key,good_match_without_ambi_on_match,good_match_without_ambi,precision_without_ambiguity_on_key,precision_without_ambiguity_on_match,precision_without_ambiguity,recall_without_ambiguity_on_key,recall_without_ambiguity_on_match,recall_without_ambiguity,F1-score_without_ambiguity_on_key,F1-score_without_ambiguity_on_match,F1-score_without_ambiguity
count,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
mean,3.0,9.5,0.01695830799566114,0.02413533834586466,0.01844199658861053,285.0,512.2857142857143,6.878571428571429,2.2357142857142858,5.0285714285714285,1.5714285714285714,0.004629594633841397,0.012808365059292875,0.003362329815398523,0.007844611528822053,0.017644110275689222,0.005513784461152882,0.005544452926059578,0.013703341724489698,0.003960898407866342
std,2.007181351651431,5.7869861441940165,0.014803289738148968,0.01646011688663955,0.012623046012543005,0.0,172.9729169849358,4.691133312692273,2.5406358301372483,1.403709664495968,1.1451672438748794,0.004840355828348388,0.010306084887226166,0.0025037802097498327,0.008914511684692098,0.0049252970684069055,0.004018130680262735,0.005835704113202945,0.006457961170244448,0.0026994632375561003
min,0.0,0.0,0.004702194357366771,0.010526315789473684,0.0065005417118093175,285.0,160.0,3.0,0.0,2.0,0.0,0.0,0.004702194357366771,0.0,0.0,0.007017543859649123,0.0,0.0,0.0065005417118093175,0.0
25%,1.0,4.75,0.006514657980456026,0.014035087719298246,0.008898776418242492,285.0,353.0,4.0,1.0,4.0,1.0,0.0015723270440251573,0.006289308176100629,0.0015723270440251573,0.0035087719298245615,0.014035087719298246,0.0035087719298245615,0.002171552660152009,0.008686210640608035,0.002171552660152009
50%,3.0,9.5,0.009456377397590648,0.017543859649122806,0.012683697698297254,285.0,614.0,5.0,1.0,5.0,1.0,0.003134796238244514,0.008143322475570033,0.0028328611898017,0.0035087719298245615,0.017543859649122806,0.0035087719298245615,0.004333694474539545,0.010857763300760043,0.003134796238244514
75%,5.0,14.25,0.02552035050830955,0.02456140350877193,0.02247191011235955,285.0,638.0,7.0,2.0,6.0,2.0,0.00625,0.014164305949008499,0.0056657223796034,0.007017543859649123,0.021052631578947368,0.007017543859649123,0.006269592476489028,0.0159622166626477,0.00457270959377701
max,6.0,19.0,0.09375,0.08771929824561403,0.06741573033707865,285.0,638.0,25.0,12.0,9.0,5.0,0.025,0.05625,0.0125,0.042105263157894736,0.031578947368421054,0.017543859649122806,0.02884615384615384,0.04044943820224719,0.01201923076923077
