,model_1_path_size,model_2_path_size,precision,recall,F1-score,total_matches_in_ground_truth,total_matches,good_match,good_match_without_ambi_on_key,good_match_without_ambi_on_match,good_match_without_ambi,precision_without_ambiguity_on_key,precision_without_ambiguity_on_match,precision_without_ambiguity,recall_without_ambiguity_on_key,recall_without_ambiguity_on_match,recall_without_ambiguity,F1-score_without_ambiguity_on_key,F1-score_without_ambiguity_on_match,F1-score_without_ambiguity
count,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
mean,0.5833333333333334,8.722222222222221,0.10528001656018375,0.013547758284600388,0.02295077405346977,285.0,43.69444444444444,3.861111111111111,0.5833333333333334,3.0,0.4722222222222222,0.009346129412917995,0.08886289264672946,0.007678753224469011,0.002046783625730994,0.010526315789473686,0.0016569200779727095,0.0033199108053036915,0.017963728123649783,0.002693463633038649
std,1.0522085616183028,5.62449292247049,0.046266658444484916,0.008600951337597989,0.01353167291104465,0.0,26.58659108266469,2.451271131215427,1.2507140817491882,1.9123657749350298,1.1080513425729774,0.020369186070851558,0.04752880466728738,0.017647226434303796,0.0043884704622778525,0.006710055350649228,0.0038878994476244815,0.007160689261633243,0.01059049897810165,0.006317678487176596
min,0.0,0.0,0.012987012987012988,0.0035087719298245615,0.0055248618784530384,285.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,4.0,0.0828042328042328,0.007017543859649123,0.013333333333333334,285.0,15.75,2.0,0.0,2.0,0.0,0.0,0.0473421926910299,0.0,0.0,0.007017543859649123,0.0,0.0,0.012966066191872646,0.0
50%,0.0,8.5,0.10487038491751767,0.010526315789473684,0.017013688066319643,285.0,47.5,3.0,0.0,2.0,0.0,0.0,0.09165111940298507,0.0,0.0,0.007017543859649123,0.0,0.0,0.01342281879194631,0.0
75%,1.0,13.0,0.13846153846153847,0.021052631578947368,0.033946456086286596,285.0,67.0,6.0,1.0,4.0,1.0,0.01220070154033857,0.12708333333333333,0.011732978425329225,0.0035087719298245615,0.014035087719298246,0.0035087719298245615,0.005449713330148113,0.02243931715124033,0.005401822336810031
max,6.0,19.0,0.2037037037037037,0.03859649122807018,0.06489675516224189,285.0,87.0,11.0,6.0,7.0,6.0,0.08955223880597014,0.15384615384615385,0.08955223880597014,0.021052631578947368,0.02456140350877193,0.021052631578947368,0.03409090909090909,0.03977272727272727,0.03409090909090909
