key,match_done,dist,match_that_should_be_done
MD_Metadata.identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value,datasetSpecification.datasetCreationDate,6.856052,['contacts.name']
MD_Metadata.dataQualityInfo.DQ_DataQuality.lineage.LI_Lineage.statement.CharacterString.@value,contacts.orcId,8.239791,['instrumentSet.description']
MD_Metadata.identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.CharacterString.@value,datasetSpecification.datasetRevisionDate,6.5888124,['keywords.concept']
MD_Metadata.identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.uuid,parameterSet.uom,8.373225,[]
MD_Metadata.identificationInfo.MD_DataIdentification.abstract.CharacterString.@value,distributionInformation.dataPolicyUrl,4.232529,['resourceAbstract.en']
MD_Metadata.characterSet.MD_CharacterSetCode.codeList,datasetSpecification.datasetRevisionDate,4.312757,[]
MD_Metadata.identificationInfo.MD_DataIdentification.language.LanguageCode.codeListValue,datasetSpecification.datasetRevisionDate,5.509396,['datasetSpecification.datasetLanguage']
identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value,datasetSpecification.datasetRevisionDate,7.742238,[]
MD_DataIdentification.extent.EX_Extent.temporalElement.EX_TemporalExtent.extent.TimePeriod.endPosition.@value,datasetSpecification.datasetRevisionDate,7.4040117,[]
identificationInfo.MD_DataIdentification.citation.CI_Citation.date.CI_Date.dateType.CI_DateTypeCode.codeListValue,datasetSpecification.datasetRevisionDate,10.147533,[]
MD_Metadata.identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.nilReason,distributionInformation.dataPolicyUrl,6.4640036,[]
MD_Metadata.identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeListValue,datasetSpecification.datasetRevisionDate,8.865875,[]
MD_Metadata.identificationInfo.MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value,distributionInformation.dataPolicyUrl,5.7847958,['instrumentSet.description:links.description:platformSet.description:resourceAbstract:spatialExtents.description']
MD_Metadata.identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.otherConstraints.nilReason,datasetSpecification.datasetCreationDate,6.1748834,[]
MD_Metadata.spatialRepresentationInfo.MD_VectorSpatialRepresentation.geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeListValue,datasetSpecification.datasetCreationDate,11.772842,['spatialExtents.area.type']
MD_Metadata.spatialRepresentationInfo.MD_VectorSpatialRepresentation.geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeList,datasetSpecification.datasetCreationDate,11.265392,[]
identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value,datasetSpecification.datasetRevisionDate,7.770423,['spatialExtents.area.eastLongitude']
MD_Metadata.identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeList,datasetSpecification.datasetRevisionDate,9.138317,[]
MD_Metadata.identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,datasetSpecification.datasetRevisionDate,8.471008,[]
MD_Metadata.identificationInfo.MD_DataIdentification.credit.CharacterString.@value,distributionInformation.dataPolicyUrl,4.3302364,['projectSet.label']
pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.city.CharacterString.@value,datasetSpecification.datasetCreationDate,7.7248425,['contacts.address.city']
identificationInfo.MD_DataIdentification.descriptiveKeywords.MD_Keywords.thesaurusName.CI_Citation.title.CharacterString.@value,datasetSpecification.datasetRevisionDate,6.87711,[]
identificationInfo.MD_DataIdentification.citation.CI_Citation.identifier.MD_Identifier.code.CharacterString.@value,datasetSpecification.datasetRevisionDate,6.3052077,[]
MD_Metadata.fileIdentifier.CharacterString.@value,description.DEFAULT_VALUE_KEY,2.7455564,['identifiers']
MD_Metadata.language.LanguageCode.codeListValue,parameterSet.thesaurusCode,3.332581,['language']
MD_Metadata.identificationInfo.MD_DataIdentification.characterSet.MD_CharacterSetCode.codeList,datasetSpecification.datasetRevisionDate,6.3209944,[]
identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value,datasetSpecification.datasetRevisionDate,7.653558,[]
pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.phone.CI_Telephone.facsimile.CharacterString.@value,datasetSpecification.datasetCreationDate,7.6483107,[]
MD_Metadata.distributionInfo.MD_Distribution.distributionFormat.MD_Format.name.nilReason,parameterSet.cfStandardName,6.1376705,[]
MD_Metadata.identificationInfo.MD_DataIdentification.topicCategory.MD_TopicCategoryCode.@value,datasetSpecification.datasetRevisionDate,6.2961493,[]
pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.electronicMailAddress.CharacterString.@value,datasetSpecification.datasetCreationDate,8.575577,['contacts.email']
MD_Metadata.dataQualityInfo.DQ_DataQuality.scope.DQ_Scope.level.MD_ScopeCode.codeList,contacts.orcId,12.519423,[]
pointOfContact.CI_ResponsibleParty.contactInfo.CI_Contact.address.CI_Address.country.CharacterString.@value,datasetSpecification.datasetCreationDate,7.601729,['contacts.address.country']
