key,match_done,dist,match_that_should_be_done
embargoDuration,condition,1.2381611,[]
dataAccessRoles,data,1.7423185,[]
embargoRoles,referencePolicy,1.4126496,[]
note,comment,0.8350489,[]
endDate,end,1.1558583,['period.end']
embargoStartDate,expirationDate,1.3473483,[]
ror,contentType,0.87469715,[]
doi,url,1.7495763,[]
calibration,documentation,0.58952135,[]
dataPolicyUrl,valueUrl,1.3977176,[]
label,label,0.0,[]
language,expression,0.61483115,[]
concept,definition,0.5754304,['category.coding.code']
documentRating,contentReference,1.0814837,[]
shortName,name,0.90224135,[]
orbit,definition,1.1022402,[]
cfStandardName,name,1.5718824,[]
datasetChangelogs,valueSet,2.233658,[]
organisations,representation,0.5794841,[]
status,status,0.0,[]
title,title,0.0,[]
modifications,requirements,0.49230826,[]
version,version,0.0,[]
street,country,0.82833976,[]
firstName,contentType,0.5500574,[]
resourceType,resourceType,0.0,[]
type,type,0.0,[]
genealogy,documentation,0.7155313,[]
lastName,contentType,0.5653873,[]
resolution,representation,0.58794975,[]
codeSpace,code,0.97233754,['identifier.type.coding.system']
authenticationNeeded,requirements,0.9830144,[]
dataPolicyName,referencePolicy,1.4985688,[]
temporalExtents,severity,1.2389163,[]
accessConstraints,requirements,1.0699264,[]
projection,documentation,0.61841077,[]
en,prefix,1.8649317,[]
clientTemplateName,name,1.356873,[]
journalName,name,0.85267824,[]
code,code,0.0,[]
model,system,0.7482408,[]
fr,derivation,1.5811346,[]
beginDate,manufactureDate,0.9896761,['period.start']
dataLevel,data,0.9641782,[]
datasetVersions,valueSet,1.3572785,[]
dataPolicyReminder,referencePolicy,1.2758604,[]
processLevel,system,1.0858353,[]
filterDescription,description,0.97939163,[]
northLatitude,latitude,1.0089548,[]
datasetRevisionDate,valueDateTime,1.8589165,[]
visibility,representation,0.60857993,[]
orcId,carrierHRF,2.7807314,[]
webSiteUrl,nameUrl,1.9827372,[]
email,address,0.97320336,[]
datasetPublicationDate,valueDateTime,1.7962024,[]
eastLongitude,longitude,1.2263669,[]
journalSection,contentReference,1.0577718,[]
southLatitude,latitude,1.0336155,[]
latitude,latitude,0.0,['position.latitude']
nameType,name,1.0158081,[]
editFields,contentReference,1.2742895,[]
datasetCreationDate,createdDateTime,1.8133862,[]
organisation,representation,0.5272059,[]
value,value,0.0,[]
doc_id,doc_id,0.0,['doc_id']
registrationNeeded,requirements,0.9502325,[]
dataCenter,data,0.8859669,[]
name,name,0.0,['deviceName.name']
catalogueMode,mode,0.6961242,[]
thesaurusCode,code,0.8573871,[]
licenceVersion,license,0.8836297,[]
city,city,0.0,[]
url,url,0.0,[]
date,date,0.0,['date']
description,description,0.0,[]
sites,documentation,0.95144564,[]
datasetLanguage,valueSet,1.2887317,[]
programName,name,0.7261499,[]
identifier,description,0.5928076,['identifier.value']
dataPolicyVersion,referencePolicy,1.2986021,[]
manufacturer,manufacturer,0.0,[]
spatialRepresentation,representation,0.9453985,[]
metadataLevel,data,1.1592803,[]
collectionName,name,0.59130615,[]
longitude,longitude,0.0,['position.longitude']
altitude,latitude,0.8377564,[]
publicationYear,date,1.116665,[]
projects,documentation,0.6293733,[]
postalCode,postalCode,0.0,[]
licenceName,name,0.92311937,['licence']
DEFAULT_VALUE_KEY,valueSet,1.5103197,[]
longName,name,1.1062812,[]
licencePolicyUrl,valueUrl,1.3367323,[]
parameters,contentType,0.5502008,[]
uom,carrierHRF,2.7693043,[]
westLongitude,longitude,1.1710716,[]
catalogueName,name,0.6961242,[]
roles,requirements,1.0094073,[]
instruments,documentation,0.6284719,[]
origin,derivation,0.72971195,[]
authors,publisher,0.71136284,[]
comment,comment,0.0,[]
platforms,requirements,0.7419553,[]
additionalData,data,0.59110206,[]
country,country,0.0,[]
serialNumber,serialNumber,0.0,[]
site,source,0.9314772,[]
aerisDataCenter,data,1.3796983,['identifier.system']
plateforms,multipleAnd,1.4426891,[]
useConstraints,use,0.6526827,[]
