key,match,dist
MD_Distribution.distributionFormat.MD_Format.version.nilReason,distributionInformation.dataPolicyVersion,0.50134766
MD_Distribution.distributionFormat.MD_Format.version.nilReason,distributionInformation.licenceVersion,0.49899882
identifier.MD_Identifier.code.Anchor.@value,identifiers.code,0.49005863
MD_Distribution.distributionFormat.MD_Format.name.nilReason,distributionInformation.dataPolicyName,0.45055917
MD_Distribution.distributionFormat.MD_Format.name.nilReason,distributionInformation.licenceName,0.45053354
MD_Distribution.distributionFormat.MD_Format.name.nilReason,distributionInformation.description.en,0.44636795
temporalElement.EX_TemporalExtent.extent.TimePeriod.id,temporalExtents.endDate,0.43227485
EX_TemporalExtent.extent.TimePeriod.beginPosition.@value,temporalExtents.beginDate,0.43091333
address.CI_Address.country.CharacterString.@value,contacts.address.country,0.41728193
resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,distributionInformation.accessConstraints,0.4025964
identificationInfo.MD_DataIdentification.spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeList,spatialExtents.spatialRepresentation,0.39881912
MD_Metadata.metadataStandardName.CharacterString.@value,parameterSet.cfStandardName,0.39443466
identificationInfo.MD_DataIdentification.language.LanguageCode.codeList,datasetSpecification.datasetLanguage,0.39235246
identificationInfo.MD_DataIdentification.language.LanguageCode.codeListValue,datasetSpecification.datasetLanguage,0.3904536
address.CI_Address.city.CharacterString.@value,contacts.address.city,0.38614002
MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.nilReason,publications.description,0.37862357
pointOfContact.CI_ResponsibleParty.organisationName.CharacterString.@value,contacts.organisations,0.36443454
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeList,metadataLevel,0.36219612
MD_Metadata.language.LanguageCode.codeListValue,language,0.35035023
MD_Metadata.language.LanguageCode.codeList,language,0.34804863
thesaurusName.CI_Citation.title.CharacterString.@value,parameterSet.thesaurusCode,0.33650035
descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeList,keywords.concept,0.33398178
onLine.CI_OnlineResource.linkage.URL.@value,resourceType,0.32851413
MD_Metadata.characterSet.MD_CharacterSetCode.codeList,parameterSet.uom,0.32679012
onLine.CI_OnlineResource.name.CharacterString.@value,resourceAbstract.fr,0.31906784
onLine.CI_OnlineResource.name.CharacterString.@value,resourceAbstract.en,0.3172045
pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeList,contacts.roles,0.3051915
onLine.CI_OnlineResource.function.CI_OnLineFunctionCode.codeList,resourceTitle.fr,0.301358
geographicElement.EX_GeographicBoundingBox.northBoundLatitude.Decimal.@value,spatialExtents.area.northLatitude,0.29110062
geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value,spatialExtents.area.southLatitude,0.29110062
geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value,spatialExtents.area.westLongitude,0.28918666
geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value,spatialExtents.area.eastLongitude,0.28918666
date.CI_Date.dateType.CI_DateTypeCode.codeList,type,0.28860635
geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeListValue,contacts.nameType,0.27338254
pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value,contacts.firstName,0.26495272
