key,match,dist
distributionFormat.MD_Format.version.nilReason,distributionInformation.licenceVersion,0.5418825
distributionFormat.MD_Format.name.nilReason,distributionInformation.licenceName,0.48046768
MD_Identifier.code.Anchor.@value,identifiers.code,0.45962888
EX_TemporalExtent.extent.TimePeriod.id,temporalExtents.endDate,0.43767032
CI_Address.country.CharacterString.@value,address.country,0.43748283
MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,distributionInformation.accessConstraints,0.4259081
MD_DataIdentification.spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeList,spatialExtents.spatialRepresentation,0.4191386
MD_DataIdentification.language.LanguageCode.codeList,datasetSpecification.datasetLanguage,0.4174961
MD_DataIdentification.language.LanguageCode.codeListValue,datasetSpecification.datasetLanguage,0.41407806
CI_Address.city.CharacterString.@value,address.city,0.401539
MD_Metadata.metadataStandardName.CharacterString.@value,parameterSet.cfStandardName,0.39434505
descriptiveKeywords.MD_Keywords.keyword.nilReason,description.en,0.38973963
MD_Keywords.type.MD_KeywordTypeCode.codeList,keywords.concept,0.3849605
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeList,metadataLevel,0.3621065
CI_ResponsibleParty.organisationName.CharacterString.@value,contacts.organisations,0.35552204
resourceConstraints.MD_LegalConstraints.otherConstraints.nilReason,resourceAbstract.en,0.35367683
MD_Resolution.distance.Distance.uom,instrumentSet.resolution,0.35080642
MD_Metadata.language.LanguageCode.codeListValue,language,0.35026062
MD_Metadata.language.LanguageCode.codeList,language,0.347959
CI_OnlineResource.linkage.URL.@value,resourceType,0.34043372
EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value,area.southLatitude,0.33448464
EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value,area.eastLongitude,0.33448464
EX_GeographicBoundingBox.northBoundLatitude.Decimal.@value,area.northLatitude,0.33448464
EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value,area.westLongitude,0.33448464
CI_Date.date.Date.@value,histories.date,0.33211187
MD_Metadata.characterSet.MD_CharacterSetCode.codeList,parameterSet.uom,0.3267005
MD_Metadata.characterSet.MD_CharacterSetCode.codeListValue,parameterSet.thesaurusCode,0.32195652
CI_OnlineResource.function.CI_OnLineFunctionCode.codeList,resourceTitle.fr,0.30557024
CI_Date.dateType.CI_DateTypeCode.codeList,type,0.28851673
DQ_Scope.level.MD_ScopeCode.codeList,dataLevel,0.28688818
MD_BrowseGraphic.fileName.CharacterString.@value,contacts.firstName,0.26062134
CI_ResponsibleParty.role.CI_RoleCode.codeList,contacts.roles,0.2555243
