key,match,dist
MD_Distribution.distributionFormat.MD_Format.version.nilReason,distributionInformation.dataPolicyVersion,0.5010394
MD_Distribution.distributionFormat.MD_Format.version.nilReason,distributionInformation.licenceVersion,0.49869055
identifier.MD_Identifier.code.Anchor.@value,identifiers.code,0.48975036
address.CI_Address.country.CharacterString.@value,address.country,0.46991497
MD_Distribution.distributionFormat.MD_Format.name.nilReason,distributionInformation.dataPolicyName,0.4502509
MD_Distribution.distributionFormat.MD_Format.name.nilReason,distributionInformation.licenceName,0.45022526
address.CI_Address.city.CharacterString.@value,address.city,0.44207504
temporalElement.EX_TemporalExtent.extent.TimePeriod.id,temporalExtents.endDate,0.43196657
EX_TemporalExtent.extent.TimePeriod.beginPosition.@value,temporalExtents.beginDate,0.43060505
resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,distributionInformation.accessConstraints,0.40228814
identificationInfo.MD_DataIdentification.spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeList,spatialExtents.spatialRepresentation,0.39851084
MD_Metadata.metadataStandardName.CharacterString.@value,parameterSet.cfStandardName,0.3941264
identificationInfo.MD_DataIdentification.language.LanguageCode.codeList,datasetSpecification.datasetLanguage,0.3920442
identificationInfo.MD_DataIdentification.language.LanguageCode.codeListValue,datasetSpecification.datasetLanguage,0.39014533
MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.nilReason,publications.description,0.3783153
descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeListValue,description.DEFAULT_VALUE_KEY,0.3644284
pointOfContact.CI_ResponsibleParty.organisationName.CharacterString.@value,contacts.organisations,0.36412627
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeList,metadataLevel,0.36188784
descriptiveKeywords.MD_Keywords.keyword.CharacterString.@value,description.DEFAULT_VALUE_KEY,0.3613214
MD_Metadata.language.LanguageCode.codeListValue,language,0.35004196
MD_Metadata.language.LanguageCode.codeList,language,0.34774035
descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeList,description.en,0.33947167
descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeList,description.fr,0.33947167
thesaurusName.CI_Citation.title.CharacterString.@value,parameterSet.thesaurusCode,0.33619207
onLine.CI_OnlineResource.linkage.URL.@value,resourceType,0.32820585
MD_Metadata.characterSet.MD_CharacterSetCode.codeList,parameterSet.uom,0.32648185
date.CI_Date.date.Date.@value,histories.date,0.32337528
onLine.CI_OnlineResource.name.CharacterString.@value,resourceAbstract.fr,0.31875956
onLine.CI_OnlineResource.name.CharacterString.@value,resourceAbstract.en,0.31689623
geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value,area.westLongitude,0.3062075
geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value,area.eastLongitude,0.3062075
geographicElement.EX_GeographicBoundingBox.northBoundLatitude.Decimal.@value,area.northLatitude,0.3062075
geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value,area.southLatitude,0.3062075
pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeList,contacts.roles,0.3048832
onLine.CI_OnlineResource.function.CI_OnLineFunctionCode.codeList,resourceTitle.fr,0.30104974
date.CI_Date.dateType.CI_DateTypeCode.codeList,type,0.2882981
geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeListValue,contacts.nameType,0.27307427
pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value,contacts.firstName,0.26464444
