key,match,dist
date.CI_Date.dateType.CI_DateTypeCode.codeList,datasetRevisionDate,6.683042
MD_Metadata.language.LanguageCode.codeList,postalCode,3.5077744
MD_Metadata.dateStamp.DateTime.@value,datasetCreationDate,3.0162272
pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeList,datasetCreationDate,6.568499
MD_Metadata.metadataStandardVersion.CharacterString.@value,datasetRevisionDate,3.0583012
identificationInfo.MD_DataIdentification.characterSet.MD_CharacterSetCode.codeList,datasetRevisionDate,6.094482
phone.CI_Telephone.facsimile.CharacterString.@value,DEFAULT_VALUE_KEY,3.0406306
identificationInfo.MD_DataIdentification.language.LanguageCode.codeList,datasetRevisionDate,4.538182
identificationInfo.MD_DataIdentification.characterSet.MD_CharacterSetCode.codeListValue,datasetRevisionDate,6.6550364
graphicOverview.MD_BrowseGraphic.fileName.CharacterString.@value,datasetCreationDate,4.1399407
scope.DQ_Scope.level.MD_ScopeCode.codeList,orcId,6.3254657
citation.CI_Citation.title.CharacterString.@value,dataPolicyName,3.0444858
resourceConstraints.MD_LegalConstraints.useConstraints.MD_RestrictionCode.codeList,datasetChangelogs,5.5190015
resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeListValue,datasetChangelogs,5.866827
identificationInfo.MD_DataIdentification.pointOfContact.CI_ResponsibleParty.uuid,uom,7.88038
scope.DQ_Scope.level.MD_ScopeCode.codeListValue,orcId,6.858283
pointOfContact.CI_ResponsibleParty.role.CI_RoleCode.codeListValue,datasetCreationDate,7.10033
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeListValue,datasetRevisionDate,5.1180725
geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeList,datasetChangelogs,7.6590314
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeList,datasetRevisionDate,4.716625
identificationInfo.MD_DataIdentification.credit.CharacterString.@value,datasetCreationDate,3.358236
identificationInfo.MD_DataIdentification.spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeListValue,datasetRevisionDate,7.645707
resourceConstraints.MD_LegalConstraints.useLimitation.CharacterString.@value,datasetCreationDate,3.7122316
spatialResolution.MD_Resolution.distance.Distance.uom,uom,3.403327
date.CI_Date.dateType.CI_DateTypeCode.codeListValue,datasetRevisionDate,7.1983776
phone.CI_Telephone.voice.CharacterString.@value,DEFAULT_VALUE_KEY,3.2221866
descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeListValue,datasetRevisionDate,6.48093
MD_Metadata.metadataStandardName.CharacterString.@value,dataPolicyName,3.1822913
onLine.CI_OnlineResource.function.CI_OnLineFunctionCode.codeListValue,datasetChangelogs,7.134206
identifier.MD_Identifier.code.Anchor.href,doc_id,3.0405054
pointOfContact.CI_ResponsibleParty.individualName.CharacterString.@value,datasetCreationDate,4.640826
identificationInfo.MD_DataIdentification.abstract.CharacterString.@value,datasetRevisionDate,3.2560332
geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value,datasetCreationDate,4.9168615
geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeListValue,datasetChangelogs,8.211911
MD_Metadata.characterSet.MD_CharacterSetCode.codeListValue,datasetRevisionDate,5.3689437
temporalElement.EX_TemporalExtent.extent.TimePeriod.id,datasetCreationDate,4.4087076
resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,datasetChangelogs,5.4085293
geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value,datasetRevisionDate,4.9379206
MD_Metadata.characterSet.MD_CharacterSetCode.codeList,datasetRevisionDate,4.897687
resourceConstraints.MD_LegalConstraints.useConstraints.MD_RestrictionCode.codeListValue,datasetChangelogs,5.9926043
geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value,datasetCreationDate,4.810687
pointOfContact.CI_ResponsibleParty.organisationName.CharacterString.@value,datasetCreationDate,4.5640798
identifier.MD_Identifier.code.Anchor.@value,dataPolicyName,2.8411758
onLine.CI_OnlineResource.name.CharacterString.@value,datasetCreationDate,3.4968457
MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.nilReason,dataPolicyUrl,4.6180754
