key,match,dist
LanguageCode.codeList,language,0.48269838
MD_SpatialRepresentationTypeCode.codeList,spatialExtents.spatialRepresentation,0.46472117
version.nilReason,formats.version,0.4115595
keyword.nilReason,keywords.concept,0.39314637
endPosition.@value,lastModification.value,0.38687086
Date.@value,dataLevel,0.32731244
Distance.uom,parameterSet.uom,0.32384023
otherConstraints.nilReason,distributionInformation.useConstraints,0.31309542
MD_CharacterSetCode.codeListValue,parameterSet.thesaurusCode,0.30592284
TimePeriod.id,doc_id,0.29570168
CI_DateTypeCode.codeList,type,0.29098997
CI_DateTypeCode.codeListValue,contacts.nameType,0.2809109
name.nilReason,links.name,0.2745483
CI_RoleCode.codeList,contacts.roles,0.26939577
