key,match,dist
resourceType,resourceType,0.80578446
doc_id,doc_id,0.8010576
status,status,0.8010576
contacts.name,contact.name,0.70178133
parameterSet.type,parameter.type,0.68451
contacts.address.postalCode,address.postalCode,0.6530554
links.url,link.url,0.6511824
contacts.address.country,address.country,0.63399756
identifier,identifier.use,0.6335156
parameters,parameter.max,0.6052065
parameters,parameter.name,0.6052065
parameters,parameter.min,0.6052065
parameters,parameter.use,0.6052065
contacts.address.city,address.city,0.6034663
identifiers.code,identifier.type.coding.code,0.59941196
instrumentSet.manufacturer,manufacturer,0.55258197
instrumentSet.serialNumber,serialNumber,0.55258197
formats.version,version,0.5440438
formats.name,format,0.53909516
publications.description,property.description,0.53487056
type,type.text,0.5153433
links.description.en,description.text,0.5113876
links.description.fr,description.text,0.5113876
note,note.text,0.5006374
contacts.comment.en,comment,0.48764724
contacts.comment.fr,comment,0.48764724
contacts.orcId,contained.id,0.48260522
spatialExtents.spatialRepresentation,snapshot.element.representation,0.4728013
contacts.organisation,content.creation,0.45784932
contacts.webSiteUrl,content.url,0.44588783
links.name,mapping.name,0.44439343
documentRating,rest.documentation,0.44334036
modifications,verificationStatus.text,0.44240028
publications.title,title,0.44213298
instrumentSet.resolution,rest.resource.documentation,0.437461
site,date,0.43681768
keywords.concept,concept.code,0.43677187
lastModification.value,entry.resource.qualification.identifier.value,0.43051466
spatialExtents.area.longitude,position.longitude,0.4277679
publications.publicationYear,publisher,0.42731515
instruments,instantiates,0.4272076
spatialExtents.area.latitude,position.latitude,0.4187524
datasetSpecification.datasetCreationDate,expirationDate,0.4187524
visibility,criticality,0.4070741
genealogy,gender,0.40522957
projectSet.thesaurusCode,property.code,0.39672318
language,xpathUsage,0.3835618
metadataLevel,meta.lastUpdated,0.3800434
instrumentSet.label,snapshot.element.example.label,0.3729938
platforms,performer.display,0.36117664
distributionInformation.useConstraints,differential.element.constraint.extension.url,0.3593307
projects,property.uri,0.3590933
plateforms,performedDateTime,0.35476288
distributionInformation.accessConstraints,differential.element.constraint.expression,0.34303722
