key,match,dist
parameters,instantiates,0.61209923
spatialExtents.area.northLatitude,extension.valueDateTime,2.584089
distributionInformation.accessConstraints,content.data,1.3031223
instrumentSet.description.DEFAULT_VALUE_KEY,binding.valueSet,2.2844982
contacts.organisation,organization.reference,0.82535833
contacts.firstName,contact.name,0.9649001
parameterSet.label,valueSet,1.2475575
interoperabilityInformation.filterDescription,filter.value,1.0748656
formats.description.DEFAULT_VALUE_KEY,binding.valueSet,1.9496444
temporalExtents.beginDate,effectiveDateTime,1.5365648
