key,match
instrumentSet.name,deviceName.name
doc_id,doc_id
editInformations.histories.date,date
aerisDataCenter,identifier.system
identifier,identifier.value
identifiers.codeSpace,identifier.type.coding.system
distributionInformation.licenceName,licence
keywords.concept,category.coding.code
spatialExtents.area.latitude,position.latitude
spatialExtents.area.longitude,position.longitude
temporalExtents.beginDate,period.start
temporalExtents.endDate,period.end
